name,province,district,county,type,lat,long,date
Policlínica de Guabito CSS,Bocas del Toro,Changuinola,Guabito,FO,9.49632,-82.610203,28/06/2017
C.E.B.G. Dionisia G. de Ayarza,Bocas del Toro,Chiriqui Grande,Chiriqui Grande,FO,8.945522,-82.115149,3/8/2017
I.P.T. Chiriqui Grande,Bocas del Toro,Chiriqui Grande,Chiriqui Grande,FO,8.918024,-82.184955,3/8/2017
Municipio Chiriqui Grande (Cabecera),Bocas del Toro,Chiriqui Grande,Chiriqui Grande,FO,8.948784,-82.116083,3/8/2017
C.E.B.G. PUNTA PEÑA,Bocas del Toro,Chiriqui Grande,Punta Peña,FO,8.913516,-82.186711,28/06/2017
Escuela Cañazas,Bocas del Toro,Chiriqui Grande,Punta Peña,FO,8.807906,-82.184109,30/06/2017
Esc. Alanje,Chiriqui,Alanje,Santiago de Alanje,HFC,8.495887,-82.80728,1/6/2017
Municipio de Alanje,Chiriqui,Alanje,Santiago de Alanje,FO,8.40067,-82.558188,13/06/2017
Parque Central Alanje,Chiriqui,Alanje,Santiago de Alanje,FO,8.400826,-82.557997,13/06/2017
C.E.B.G. Divalá,Chiriqui,Alanje,Divalá,FO,8.411548,-82.716166,26/07/2017
Policlínica de la CSS de Divala,Chiriqui,Alanje,Divalá,FO,8.417235,-82.713975,27/07/2017
Esc. Guarumal,Chiriqui,Alanje,Guarumal,FO,8.35175,-82.530526,29/11/2017
Esc. La Esperanza,Chiriqui,Baru,Baco,FO,8.406897,-82.790057,30/05/2017
Esc. San Valentín,Chiriqui,Baru,Baco,FO,8.365272,-82.783435,30/05/2017
Centro de Educ. Media de Progreso,Chiriqui,Baru,Progreso,PTP,8.451565,-82.834551,25/07/2017
Esc. Chuchupate,Chiriqui,Baru,Progreso,PTP,8.347334,-82.801157,25/07/2017
Biblioteca Pública Generosa Valdez de Diaz,Chiriqui,Baru,Puerto Tomás Armuelles,FO,8.277919,-82.864167,4/5/2017
Bomberos Puerto Armuelles,Chiriqui,Baru,Puerto Tomás Armuelles,FO,8.271352,-82.863631,4/5/2017
Esc. Los Ángeles,Chiriqui,Baru,Puerto Tomás Armuelles,FO,8.272968,-82.861328,24/05/2017
Esc. Márgenes de Corotú,Chiriqui,Baru,Puerto Tomás Armuelles,FO,8.272843,-82.894507,24/05/2017
Esc. Sec. de Puerto Armuelles,Chiriqui,Baru,Puerto Tomás Armuelles,FO,8.284577,-82.863122,4/5/2017
Esc. Tomás Armuelles,Chiriqui,Baru,Puerto Tomás Armuelles,PTP,8.270955,-82.859721,24/05/2017
Municipio Puerto Armuelles,Chiriqui,Baru,Puerto Tomás Armuelles,FO,8.273669,-82.860183,4/5/2017
Parque Central Puerto Armuelles,Chiriqui,Baru,Puerto Tomás Armuelles,FO,8.271562,-82.86013,4/5/2017
Esc. Agua Buena,Chiriqui,Baru,Puerto Tomás Armuelles,FO,8.302843,-82.872246,4/5/2017
Esc. El Palmar,Chiriqui,Baru,Puerto Tomás Armuelles,FO,8.308957,-82.840718,25/07/2017
Esc. Flor de Lima,Chiriqui,Baru,Puerto Tomás Armuelles,PTP,8.294459,-82.857206,24/05/2017
Esc. Aguacatón,Chiriqui,Baru,Rodolfo Aguilar Delgado,FO,8.347584,-82.801082,30/05/2017
Esc. Balsa,Chiriqui,Baru,Rodolfo Aguilar Delgado,FO,8.428309,-82.895269,23/05/2017
Esc. Burica Centro,Chiriqui,Baru,Rodolfo Aguilar Delgado,PTP,8.391051,-82.903279,25/07/2017
Esc. Corozo,Chiriqui,Baru,Rodolfo Aguilar Delgado,FO,8.415213,-82.931435,4/8/2017
Esc. Finca Blanco,Chiriqui,Baru,Rodolfo Aguilar Delgado,FO,8.384487,-82.875077,5/5/2017
Esc. Finca Bongo,Chiriqui,Baru,Rodolfo Aguilar Delgado,FO,8.406384,-82.904103,30/05/2017
Esc. Finca Zapatero,Chiriqui,Baru,Rodolfo Aguilar Delgado,FO,8.397342,-82.891426,30/05/2017
Esc. Guayacán,Chiriqui,Baru,Rodolfo Aguilar Delgado,FO,8.349596,-82.833844,30/05/2017
Esc. Higuerón,Chiriqui,Baru,Rodolfo Aguilar Delgado,PTP,8.407189,-82.888167,25/07/2017
Esc. La Victoria,Chiriqui,Baru,Rodolfo Aguilar Delgado,FO,8.400361,-82.950249,23/05/2017
Esc. Manaca Civil,Chiriqui,Baru,Rodolfo Aguilar Delgado,FO,8.325881,-82.817967,30/05/2017
Esc. Manaca Norte,Chiriqui,Baru,Rodolfo Aguilar Delgado,FO,8.339238,-82.806693,30/05/2017
Esc. San Antonio.,Chiriqui,Baru,Rodolfo Aguilar Delgado,FO,8.371362,-82.887194,25/07/2017
Esc. Sec. Finca Blanco,Chiriqui,Baru,Rodolfo Aguilar Delgado,FO,8.383139,-82.87648,5/5/2017
I.P.T. Baru,Chiriqui,Baru,Rodolfo Aguilar Delgado,FO,8.33925,-82.806915,30/05/2017
P.C. Corozo,Chiriqui,Baru,Rodolfo Aguilar Delgado,FO,8.415374,-82.930786,23/05/2017
Esc. La Meseta.,Chiriqui,Boqueron,Boqueron,FO,8.552305,-82.592471,20/06/2017
Parque Central Boqueron,Chiriqui,Boqueron,Boqueron,FO,8.507088,-82.570997,14/06/2017
Esc. La Guinea,Chiriqui,Boqueron,Pedregal,FO,8.498034,-82.592449,14/06/2017
Esc. Alto Boquete,Chiriqui,Boquete,Alto Boquete,FO,8.732382,-82.434166,29/05/2017
Esc. Sec. Benigno T. Argote,Chiriqui,Boquete,Alto Boquete,HFC,8.745296,-82.432561,26/05/2017
Escuela Palo Alto (primaria),Chiriqui,Boquete,Bajo Boquete,HFC,8.796749,-82.428304,26/05/2017
Municipio Bajo Boquete,Chiriqui,Boquete,Bajo Boquete,HFC,8.776093,-82.433406,26/05/2017
Esc. Volcancito,Chiriqui,Boquete,Bajo Boquete,FO,8.769249,-82.445526,29/05/2017
Centro de Salud AserRio de Gariche,Chiriqui,Bugaba,AserRio de Gariché,FO,8.489254,-82.789992,13/06/2017
Esc. Aserrío,Chiriqui,Bugaba,Aserrío de Gariché,FO,8.489039,-82.787958,26/07/2017
Esc. El Exquisito,Chiriqui,Bugaba,Aserrío de Gariché,FO,8.562867,-82.740414,2/8/2017
Esc. Gariche,Chiriqui,Bugaba,Aserrío de Gariché,FO,8.487027,-82.779693,14/07/2017
Esc. Jacú,Chiriqui,Bugaba,Aserrío de Gariché,FO,8.482222,-82.815482,1/6/2017
Esc. La Celmira,Chiriqui,Bugaba,Aserrío de Gariché,FO,8.54462,-82.021127,14/07/2017
Esc. Portón,Chiriqui,Bugaba,Aserrío de Gariché,FO,8.566117,-82.786797,4/8/2017
